device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:48:00.535187,8.8.8.8,Latencia,64.3773078918457,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:49:00.659692,8.8.8.8,Latencia,51.130056381225586,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:50:00.784778,8.8.8.8,Latencia,64.42809104919434,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:00.909431,8.8.8.8,Latencia,47.95050621032715,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:29.971976,8.8.8.8,Latencia,51.80931091308594,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:52:30.098859,8.8.8.8,Latencia,63.927650451660156,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:53:30.227240,8.8.8.8,Latencia,63.63177299499512,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:54:30.354792,8.8.8.8,Latencia,47.80268669128418,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:55:30.491056,8.8.8.8,Latencia,63.858747482299805,True,Ping hacia 8.8.8.8
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:56:30.607434,8.8.8.8,Latencia,49.40986633300781,True,Ping hacia 8.8.8.8
