device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:48:00.535187,84.17.40.24,SUTEL Internacional,45.322418212890625,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:49:00.659692,84.17.40.24,SUTEL Internacional,51.85222625732422,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:50:00.784778,84.17.40.24,SUTEL Internacional,48.186302185058594,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:00.909431,84.17.40.24,SUTEL Internacional,51.92303657531738,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:29.971976,84.17.40.24,SUTEL Internacional,37.80794143676758,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:52:30.098859,84.17.40.24,SUTEL Internacional,47.692060470581055,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:53:30.227240,84.17.40.24,SUTEL Internacional,41.870832443237305,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:54:30.354792,84.17.40.24,SUTEL Internacional,47.61147499084473,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:55:30.491056,84.17.40.24,SUTEL Internacional,45.44806480407715,True,Ping SUTEL Internacional
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:56:30.607434,84.17.40.24,SUTEL Internacional,48.71511459350586,True,Ping SUTEL Internacional
