device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T01:56:38.773458,84.17.40.24,SUTEL Internacional,40.53950309753418,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T01:57:38.880363,84.17.40.24,SUTEL Internacional,40.66824913024902,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T01:58:38.985154,84.17.40.24,SUTEL Internacional,40.781259536743164,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T01:59:39.089701,84.17.40.24,SUTEL Internacional,40.86136817932129,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:00:39.195065,84.17.40.24,SUTEL Internacional,40.55142402648926,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:01:39.299154,84.17.40.24,SUTEL Internacional,40.53544998168945,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:02:39.395520,84.17.40.24,SUTEL Internacional,76.95174217224121,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:03:39.606313,84.17.40.24,SUTEL Internacional,40.53020477294922,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:04:39.697660,84.17.40.24,SUTEL Internacional,40.92049598693848,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:05:39.814134,84.17.40.24,SUTEL Internacional,42.51909255981445,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:06:39.906662,84.17.40.24,SUTEL Internacional,40.87400436401367,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:07:40.010525,84.17.40.24,SUTEL Internacional,40.735483169555664,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:08:40.112407,84.17.40.24,SUTEL Internacional,40.70854187011719,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:09:40.210643,84.17.40.24,SUTEL Internacional,40.38500785827637,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:10:40.289469,84.17.40.24,SUTEL Internacional,40.59720039367676,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:11:40.388958,84.17.40.24,SUTEL Internacional,40.58504104614258,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:12:40.483048,84.17.40.24,SUTEL Internacional,40.68708419799805,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:13:40.585296,84.17.40.24,SUTEL Internacional,40.6186580657959,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:14:40.677621,84.17.40.24,SUTEL Internacional,39.937734603881836,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:15:40.779629,84.17.40.24,SUTEL Internacional,40.482521057128906,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:16:40.877419,84.17.40.24,SUTEL Internacional,40.65680503845215,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:17:40.968752,84.17.40.24,SUTEL Internacional,40.69828987121582,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:18:41.069473,84.17.40.24,SUTEL Internacional,40.5120849609375,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:19:41.164151,84.17.40.24,SUTEL Internacional,40.65823554992676,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:20:41.265176,84.17.40.24,SUTEL Internacional,138.57126235961914,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:21:41.664563,84.17.40.24,SUTEL Internacional,40.5428409576416,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:22:41.750592,84.17.40.24,SUTEL Internacional,40.59457778930664,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:23:41.839161,84.17.40.24,SUTEL Internacional,40.63606262207031,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:24:41.925913,84.17.40.24,SUTEL Internacional,40.52162170410156,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:25:42.013375,84.17.40.24,SUTEL Internacional,40.52591323852539,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:26:42.109779,84.17.40.24,SUTEL Internacional,40.476083755493164,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:27:42.202983,84.17.40.24,SUTEL Internacional,40.366411209106445,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:28:42.299565,84.17.40.24,SUTEL Internacional,40.58265686035156,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:29:42.383142,84.17.40.24,SUTEL Internacional,40.66109657287598,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:30:42.463364,84.17.40.24,SUTEL Internacional,40.641069412231445,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:31:42.544182,84.17.40.24,SUTEL Internacional,40.71211814880371,True,Ping SUTEL Internacional
OLT Heredia 1,"9.999320148579201, -84.11995728395209",2025-08-22T02:32:42.628417,84.17.40.24,SUTEL Internacional,40.718793869018555,True,Ping SUTEL Internacional
