device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:48:00.535187,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:49:00.659692,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:50:00.784778,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:00.909431,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:51:29.971976,138.59.18.180,SUTEL Local,4.004955291748047,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:52:30.098859,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:53:30.227240,138.59.18.180,SUTEL Local,4.033565521240234,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:54:30.354792,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:55:30.491056,138.59.18.180,SUTEL Local,2.0263195037841797,True,Ping SUTEL Local Costa Rica
OLT Alajuela 1,"10.018856231778424, -84.21747563997135",2025-10-29T21:56:30.607434,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
