device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-01T23:57:32.536203,8.8.8.8,Latencia,52.26850509643555,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-01T23:58:32.643197,8.8.8.8,Latencia,37.17994689941406,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-01T23:59:32.740169,8.8.8.8,Latencia,36.87858581542969,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:00:32.841761,8.8.8.8,Latencia,42.02842712402344,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:01:32.946389,8.8.8.8,Latencia,43.22028160095215,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:02:33.049930,8.8.8.8,Latencia,36.39936447143555,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:03:33.153050,8.8.8.8,Latencia,37.09578514099121,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:04:33.252623,8.8.8.8,Latencia,43.7932014465332,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:05:33.347702,8.8.8.8,Latencia,49.08108711242676,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:06:33.452611,8.8.8.8,Latencia,32.019853591918945,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:07:33.556624,8.8.8.8,Latencia,44.306039810180664,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:08:33.649044,8.8.8.8,Latencia,38.282155990600586,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:09:33.753130,8.8.8.8,Latencia,31.977176666259766,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:10:33.853655,8.8.8.8,Latencia,45.68672180175781,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:11:33.961307,8.8.8.8,Latencia,31.80551528930664,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:12:34.062925,8.8.8.8,Latencia,40.15636444091797,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:13:34.161148,8.8.8.8,Latencia,58.008432388305664,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:14:34.262659,8.8.8.8,Latencia,32.78684616088867,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:15:34.368227,8.8.8.8,Latencia,52.87003517150879,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:16:34.483788,8.8.8.8,Latencia,57.94048309326172,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:17:34.594823,8.8.8.8,Latencia,47.40738868713379,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:18:34.714848,8.8.8.8,Latencia,56.899309158325195,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:19:34.822963,8.8.8.8,Latencia,50.97651481628418,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:20:34.930033,8.8.8.8,Latencia,51.21493339538574,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:21:35.042745,8.8.8.8,Latencia,45.26686668395996,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:22:35.159686,8.8.8.8,Latencia,47.58024215698242,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:23:35.278906,8.8.8.8,Latencia,50.833940505981445,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:24:35.387549,8.8.8.8,Latencia,51.323890686035156,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:25:35.499669,8.8.8.8,Latencia,50.72975158691406,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:26:35.605092,8.8.8.8,Latencia,49.20053482055664,True,Ping hacia 8.8.8.8
OLT Coronado 1,"9.981884260248757, -84.03045703642104",2025-09-02T00:27:35.723529,8.8.8.8,Latencia,45.42899131774902,True,Ping hacia 8.8.8.8
