device,ubicacion,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:15:24.517727,138.59.18.180,SUTEL Local,4.118919372558594,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:16:24.645783,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:17:24.763692,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:18:24.888092,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:19:25.013985,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:20:25.137951,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:21:25.260046,138.59.18.180,SUTEL Local,0.7536411285400391,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:22:25.373979,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:23:25.499228,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:24:25.615507,138.59.18.180,SUTEL Local,1.0066032409667969,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:25:25.735953,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:26:25.853060,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:27:25.963315,138.59.18.180,SUTEL Local,7.431983947753906,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:28:26.120627,138.59.18.180,SUTEL Local,6.012439727783203,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:29:26.234032,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:30:26.348030,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:31:26.464842,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:32:26.588504,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:33:26.701341,138.59.18.180,SUTEL Local,76.34091377258301,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:34:31.841355,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:35:31.960702,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:36:32.079352,138.59.18.180,SUTEL Local,2.007722854614258,True,Ping SUTEL Local Costa Rica
OLT Guadalupe 1,"9.948976621643562, -84.04793934875708",2025-08-23T11:37:32.193900,138.59.18.180,SUTEL Local,0.0,True,Ping SUTEL Local Costa Rica
