device,ubicacion,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T14:50:07.614793,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,10.878,886.426512,759.517144,900068050,810056697,,,,,Telecable Costa Rica,190.171.113.115,77226570-264b-483a-84fb-7dcd373cdf23,https://www.speedtest.net/result/c/77226570-264b-483a-84fb-7dcd373cdf23,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T14:50:45.626970,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",46.826,19.3638,702.226888,33356620,968949335,,,,,Telecable Costa Rica,190.171.113.115,58186f42-1ef3-4a6c-a123-2ea005dfd080,https://www.speedtest.net/result/c/58186f42-1ef3-4a6c-a123-2ea005dfd080,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T14:56:14.756460,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,11.418,908.367216,763.564392,1063457486,758081142,,,,,Telecable Costa Rica,190.171.113.115,12f227bc-0ace-48ac-91e0-be9abab4f239,https://www.speedtest.net/result/c/12f227bc-0ace-48ac-91e0-be9abab4f239,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T14:56:48.309657,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",46.758,24.275568,705.393312,35680940,800160548,,,,,Telecable Costa Rica,190.171.113.115,7cdd10ce-ad3c-43b4-ab84-c8d3ac87ea94,https://www.speedtest.net/result/c/7cdd10ce-ad3c-43b4-ab84-c8d3ac87ea94,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:02:17.356729,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,11.032,893.71724,761.81916,1076124460,777330939,,,,,Telecable Costa Rica,190.171.113.115,b2fbc402-642f-43e6-b6ac-ba024c04937a,https://www.speedtest.net/result/c/b2fbc402-642f-43e6-b6ac-ba024c04937a,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:02:49.545470,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",46.7,22.680856,542.39688,21083860,871717716,,,,,Telecable Costa Rica,190.171.113.115,142156a5-6a7b-4793-8776-f44dafcd01ac,https://www.speedtest.net/result/c/142156a5-6a7b-4793-8776-f44dafcd01ac,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:08:16.711590,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,10.84,886.487168,757.551432,776511056,836124013,,,,,Telecable Costa Rica,190.171.113.115,0a23fc8f-14d2-4a42-874c-69fd729b8682,https://www.speedtest.net/result/c/0a23fc8f-14d2-4a42-874c-69fd729b8682,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:08:53.363888,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",46.691,24.05664,685.495936,41915140,910200825,,,,,Telecable Costa Rica,190.171.113.115,44d881c9-284b-4d8d-8e71-919ae7f00243,https://www.speedtest.net/result/c/44d881c9-284b-4d8d-8e71-919ae7f00243,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:14:18.723780,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,10.919,859.00752,759.9332,594850512,781421528,,,,,Telecable Costa Rica,190.171.113.115,481761ca-731a-46ec-9208-a2bb458470cb,https://www.speedtest.net/result/c/481761ca-731a-46ec-9208-a2bb458470cb,official
OLT San Vito 1,"8.821926967538545, -82.97079120936043",2025-09-01T15:14:50.506293,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",46.723,21.637168,709.329048,25401080,907768578,,,,,Telecable Costa Rica,190.171.113.115,6c393f9a-6be4-4624-a7da-516436285a0d,https://www.speedtest.net/result/c/6c393f9a-6be4-4624-a7da-516436285a0d,official
