fecha_hora,tipo_ping,ip_objetivo,ubicacion,promedio_ms,count,min_ms,max_ms,std_dev
2025-09-18 00:00:00,SUTEL Local,138.59.18.180,,3.2566030820210776,60,0.0,8.232593536376953,3.0403245265028183
2025-09-18 01:00:00,SUTEL Local,138.59.18.180,,4.531498750050862,60,0.0,14.241218566894531,3.337511652167669
2025-09-18 02:00:00,SUTEL Local,138.59.18.180,,2.4466231717901716,59,0.0,8.065223693847656,2.940154983427695
2025-09-18 03:00:00,SUTEL Local,138.59.18.180,,2.7805964152018228,60,0.0,9.135007858276367,3.0120067735898903
2025-09-18 04:00:00,SUTEL Local,138.59.18.180,,2.1898382801120566,59,0.0,8.016824722290039,2.74870639497108
2025-09-18 05:00:00,SUTEL Local,138.59.18.180,,2.50850518544515,60,0.0,8.082389831542969,2.879704494913298
2025-09-18 06:00:00,SUTEL Local,138.59.18.180,,2.441525459289551,60,0.0,8.038520812988281,2.79777438557127
2025-09-18 07:00:00,SUTEL Local,138.59.18.180,,3.2539010047912598,60,0.0,8.042573928833008,3.0477329778866546
2025-09-18 08:00:00,SUTEL Local,138.59.18.180,,2.6930348347809354,59,0.0,8.041858673095703,3.0129560897181165
2025-09-18 09:00:00,SUTEL Local,138.59.18.180,,2.7158657709757485,60,0.0,8.022069931030273,3.0967554741018644
2025-09-18 10:00:00,SUTEL Local,138.59.18.180,,3.399315526929952,59,0.0,8.01539421081543,2.8654714338087266
2025-09-18 11:00:00,SUTEL Local,138.59.18.180,,2.1723124940516585,59,0.0,7.706642150878906,2.796540421479576
2025-09-18 12:00:00,SUTEL Local,138.59.18.180,,2.173496504961434,59,0.0,8.524656295776367,2.944275426195022
2025-09-18 13:00:00,SUTEL Local,138.59.18.180,,1.9932295146741366,57,0.0,7.808446884155273,2.910047863307079
2025-09-18 14:00:00,SUTEL Local,138.59.18.180,,3.0377274852688028,59,0.0,8.484840393066406,3.0930582947238268
2025-09-18 15:00:00,SUTEL Local,138.59.18.180,,3.005373477935791,60,0.0,8.035659790039062,2.8955415609682986
2025-09-18 16:00:00,SUTEL Local,138.59.18.180,,2.9253760973612466,60,0.0,7.958173751831055,3.026645988354099
2025-09-18 17:00:00,SUTEL Local,138.59.18.180,,2.8308650194588356,59,0.0,8.28242301940918,2.936430043587744
2025-09-18 18:00:00,SUTEL Local,138.59.18.180,,2.4664806107343256,59,0.0,15.804290771484375,3.14736053298039
2025-09-18 19:00:00,SUTEL Local,138.59.18.180,,2.0008087158203125,59,0.0,8.022308349609375,2.7493890999420425
2025-09-18 20:00:00,SUTEL Local,138.59.18.180,,2.6703556378682456,60,0.0,8.017301559448242,2.9530559944154575
2025-09-18 21:00:00,SUTEL Local,138.59.18.180,,2.759953339894613,60,0.0,8.031129837036133,2.9814960913996043
2025-09-18 22:00:00,SUTEL Local,138.59.18.180,,2.6036699612935386,60,0.0,8.090019226074219,2.9703459033017
2025-09-18 23:00:00,SUTEL Local,138.59.18.180,,41.421409380637996,59,0.0,60.790300369262695,22.12061389898954
